                       id                        |      experiment_id      | srx_accession | organism | analysis_date | process_type | status |       start_datetime       | finish_datetime | path | process_id  |                                                         accessions_file                                                          
-------------------------------------------------+-------------------------+---------------+----------+---------------+--------------+--------+----------------------------+-----------------+------+-------------+----------------------------------------------------------------------------------------------------------------------------------
 SRX14491933_SRR18356677_scRecounter_version_1_0 | SRX14491933_SRR18356677 | SRR18356677   | mouse    | 2025-11-15    | scRecounter  |        | 2025-11-15 22:55:06.011252 |                 |      | version_1_0 | 
 SRX18780503_SRR22821018_scRecounter_version_1_0 | SRX18780503_SRR22821018 | SRR22821018   | human    | 2025-11-10    | scRecounter  |        | 2025-11-10 11:03:45.761796 |                 |      | version_1_0 | 
 SRX18780502_SRR22821019_scRecounter_version_1_0 | SRX18780502_SRR22821019 | SRR22821019   | human    | 2025-11-10    | scRecounter  |        | 2025-11-10 11:03:45.780942 |                 |      | version_1_0 | 
 SRX18780504_SRR22821017_scRecounter_version_1_0 | SRX18780504_SRR22821017 | SRR22821017   | human    | 2025-11-10    | scRecounter  |        | 2025-11-10 11:05:51.359449 |                 |      | version_1_0 | 
 SRX18780505_SRR22821016_scRecounter_version_1_0 | SRX18780505_SRR22821016 | SRR22821016   | human    | 2025-11-10    | scRecounter  |        | 2025-11-10 11:05:51.459229 |                 |      | version_1_0 | 
 SRX18780507_SRR22821014_scRecounter_version_1_0 | SRX18780507_SRR22821014 | SRR22821014   | human    | 2025-11-10    | scRecounter  |        | 2025-11-10 11:07:51.720784 |                 |      | version_1_0 | 
 SRX18780506_SRR22821015_scRecounter_version_1_0 | SRX18780506_SRR22821015 | SRR22821015   | human    | 2025-11-10    | scRecounter  |        | 2025-11-10 11:07:51.790305 |                 |      | version_1_0 | 
 SRX16675853_SRR20652842_scRecounter_version_1_0 | SRX16675853_SRR20652842 | SRR20652842   | human    | 2025-11-10    | scRecounter  |        | 2025-11-10 12:00:18.189276 |                 |      | version_1_0 | 
 SRX4623329_SRR7767734_scRecounter_version_1_0   | SRX4623329_SRR7767734   | SRR7767734    | human    | 2025-11-11    | scRecounter  |        | 2025-11-11 04:43:39.057749 |                 |      | version_1_0 | 
