sample,accession,entrez_id,organism
SRX20288331,SRR24503416,27709479,Anopheles_gambiae
SRX19498702,SRR23613944,26779668,Arabidopsis_thaliana
SRX19992927,SRR24196182,26767425,Bos_taurus
SRX27335695,SRR31980676,36879050,Caenorhabditis_elegans
SRX23995681,SRR28390731,32301733,Callithrix_jacchus
SRX24164706,SRR28565449,32475612,Canis_lupus_familiaris
SRX26737879,SRR31364130,36125471,Danio_rerio
ERX5671941,ERR6032665,15014737,Drosophila_melanogaster
SRX26348969,SRR30946435,35575331,Equus_caballus
SRX21269173,SRR25539693,28706133,Gallus_gallus
ERX6700420,ERR7133201,17777602,Gorilla_gorilla
ERX10138362,ERR10669350,30605311,Heterocephalus_glaber
ERX9511946,ERR9970924,24063361,Oryctolagus_cuniculus
SRX22683047,SRR26990030,30698812,Oryza_sativa
SRX16872040,SRR20852785,23639073,Ovis_aries
ERX3512851,ERR3491595,9149889,Pan_troglodytes
SRX26473837,SRR31090734,34046074,Rattus_norvegicus
ERX4639423,ERR4769579,12367094,Schistosoma_mansoni
SRX15090985,SRR19019104,21568481,Solanum_lycopersicum
SRX23732262,SRR28085873,32021971,Sus_scrofa
ERX5927607,ERR6295317,15346129,Xenopus_tropicalis
SRX19052019,SRR23099821,26222706,Zea_mays
SRX19498738,SRR23614060,26779704,Arabidopsis_thaliana
SRX17163012,SRR21151334,23968863,Bos_taurus
SRX27335698,SRR31980670,36879053,Caenorhabditis_elegans
ERX9648260,ERR10111034,29618243,Callithrix_jacchus
SRX17820910,SRR21831760,24747069,Canis_lupus_familiaris
SRX22195232,SRR26491369,30150470,Danio_rerio
SRX15014603,SRR18937045,21480053,Drosophila_melanogaster
SRX26348970,SRR30946434,35575332,Equus_caballus
SRX22821312,SRR27139512,30863257,Gallus_gallus
ERX6700421,ERR7133209,17777603,Gorilla_gorilla
ERX10213964,ERR10763189,30604755,Heterocephalus_glaber
ERX9511931,ERR9970495,24063321,Oryctolagus_cuniculus
SRX22985906,SRR27308612,31059128,Oryza_sativa
SRX19482704,SRR23597689,26761938,Ovis_aries
SRX18295180,SRR22321952,25305686,Pan_troglodytes
SRX21325315,SRR25597644,28762465,Rattus_norvegicus
ERX11749473,ERR12372788,31020827,Schistosoma_mansoni
SRX15090986,SRR19019100,21568482,Solanum_lycopersicum
SRX22722562,SRR27030753,30756300,Sus_scrofa
SRX19052018,SRR23099822,26222705,Zea_mays
SRX16110579,SRR20072545,22798499,Arabidopsis_thaliana
SRX16110572,SRR20072552,22798492,Arabidopsis_thaliana
SRX19885394,SRR24084458,27255941,Caenorhabditis_elegans
SRX20684355,SRR24923839,28114027,Caenorhabditis_elegans
SRX24172447,SRR28572865,32483421,Drosophila_melanogaster
ERX5671946,ERR6032679,15014742,Drosophila_melanogaster
SRX23498637,SRR27835303,31746997,Equus_caballus
SRX23498644,SRR27835295,31747004,Equus_caballus
SRX21646415,SRR25926818,29301782,Gallus_gallus
SRX20765161,SRR25009824,28195890,Gallus_gallus
ERX3512833,ERR3491577,9149737,Pan_troglodytes
ERX3512988,ERR3491732,9149904,Pan_troglodytes
