name,cell_barcode_length,umi_length,file_path
737K-april-2014_rc,14,10,/home/kariyayama/CellIO/cellranger-9.0.1/lib/python/cellranger/barcodes/737K-april-2014_rc.txt
737K-august-2016,16,10,/home/kariyayama/CellIO/cellranger-9.0.1/lib/python/cellranger/barcodes/737K-august-2016.txt
3M-february-2018,16,12,/home/kariyayama/CellIO/cellranger-9.0.1/lib/python/cellranger/barcodes/3M-february-2018_TRU.txt
3M-february-2018_TRU,16,12,/home/kariyayama/CellIO/cellranger-9.0.1/lib/python/cellranger/barcodes/3M-february-2018_TRU.txt
3M-5pgex-jan-2023,16,12,/home/kariyayama/CellIO/cellranger-9.0.1/lib/python/cellranger/barcodes/3M-5pgex-jan-2023.txt
3M-3pgex-may-2023,16,12,/home/kariyayama/CellIO/cellranger-9.0.1/lib/python/cellranger/barcodes/3M-3pgex-may-2023.txt
3M-3pgex-may-2023_TRU,16,12,/home/kariyayama/CellIO/cellranger-9.0.1/lib/python/cellranger/barcodes/3M-3pgex-may-2023_TRU.txt
737K-arc-v1,16,12,/home/kariyayama/CellIO/cellranger-9.0.1/lib/python/cellranger/barcodes/737K-arc-v1.txt
737K-fixed-rna-profiling,16,12,/home/kariyayama/CellIO/cellranger-9.0.1/lib/python/cellranger/barcodes/737K-fixed-rna-profiling.txt
9K-LT-march-2021,16,12,/home/kariyayama/CellIO/cellranger-9.0.1/lib/python/cellranger/barcodes/9K-LT-march-2021.txt
