gene_name,gene_id,genome
TSPAN6,ENSG00000000003,hg38
TNMD,ENSG00000000005,hg38
DPM1,ENSG00000000419,hg38
SCYL3,ENSG00000000457,hg38
C1orf112,ENSG00000000460,hg38
FGR,ENSG00000000938,hg38
CFH,ENSG00000000971,hg38
FUCA2,ENSG00000001036,hg38
GCLC,ENSG00000001084,hg38
NFYA,ENSG00000001167,hg38
STPG1,ENSG00000001460,hg38
NIPAL3,ENSG00000001461,hg38
LAS1L,ENSG00000001497,hg38
ENPP4,ENSG00000001561,hg38
SEMA3F,ENSG00000001617,hg38
CFTR,ENSG00000001626,hg38
ANKIB1,ENSG00000001629,hg38
CYP51A1,ENSG00000001630,hg38
KRIT1,ENSG00000001631,hg38
RAD52,ENSG00000002016,hg38
MYH16,ENSG00000002079,hg38
BAD,ENSG00000002330,hg38
LAP3,ENSG00000002549,hg38
CD99,ENSG00000002586,hg38
HS3ST1,ENSG00000002587,hg38
AOC1,ENSG00000002726,hg38
WNT16,ENSG00000002745,hg38
HECW1,ENSG00000002746,hg38
MAD1L1,ENSG00000002822,hg38
LASP1,ENSG00000002834,hg38
SNX11,ENSG00000002919,hg38
TMEM176A,ENSG00000002933,hg38
M6PR,ENSG00000003056,hg38
KLHL13,ENSG00000003096,hg38
CYP26B1,ENSG00000003137,hg38
ICA1,ENSG00000003147,hg38
DBNDD1,ENSG00000003249,hg38
ALS2,ENSG00000003393,hg38
CASP10,ENSG00000003400,hg38
CFLAR,ENSG00000003402,hg38
TFPI,ENSG00000003436,hg38
NDUFAF7,ENSG00000003509,hg38
RBM5,ENSG00000003756,hg38
MTMR7,ENSG00000003987,hg38
SLC7A2,ENSG00000003989,hg38
ARF5,ENSG00000004059,hg38
SARM1,ENSG00000004139,hg38
POLDIP2,ENSG00000004142,hg38
PLXND1,ENSG00000004399,hg38
AK2,ENSG00000004455,hg38
CD38,ENSG00000004468,hg38
FKBP4,ENSG00000004478,hg38
KDM1A,ENSG00000004487,hg38
RBM6,ENSG00000004534,hg38
CAMKK1,ENSG00000004660,hg38
RECQL,ENSG00000004700,hg38
VPS50,ENSG00000004766,hg38
HSPB6,ENSG00000004776,hg38
ARHGAP33,ENSG00000004777,hg38
NDUFAB1,ENSG00000004779,hg38
PDK4,ENSG00000004799,hg38
SLC22A16,ENSG00000004809,hg38
ZMYND10,ENSG00000004838,hg38
ABCB5,ENSG00000004846,hg38
ARX,ENSG00000004848,hg38
SLC25A13,ENSG00000004864,hg38
ST7,ENSG00000004866,hg38
CDC27,ENSG00000004897,hg38
SLC4A1,ENSG00000004939,hg38
CALCR,ENSG00000004948,hg38
HCCS,ENSG00000004961,hg38
DVL2,ENSG00000004975,hg38
PRSS22,ENSG00000005001,hg38
UPF1,ENSG00000005007,hg38
SKAP2,ENSG00000005020,hg38
SLC25A5,ENSG00000005022,hg38
MCUB,ENSG00000005059,hg38
HOXA11,ENSG00000005073,hg38
POLR2J,ENSG00000005075,hg38
DHX33,ENSG00000005100,hg38
MEOX1,ENSG00000005102,hg38
THSD7A,ENSG00000005108,hg38
LIG3,ENSG00000005156,hg38
RPAP3,ENSG00000005175,hg38
ACSM3,ENSG00000005187,hg38
REXO5,ENSG00000005189,hg38
CIAPIN1,ENSG00000005194,hg38
