tissue,tissue_group
2 layer spheroid,other
"3 layer spheroid channel 1,epithelial",other
3 layer spheroid channel 2,other
3D healthy skin model,skin of body
A549 cells,lung
ACA (Adult Cortex Area),cortex
ACP close to the hypothalamus,brain
ACP distant from the hypothalamus,brain
AI-CLA,brain
AI-CLA (specific brain region),brain
AI-CLA (specific brain tissue),brain
AId-AIv,brain
AId-AIv (specific brain region),brain
AId-AIv-AIp (specific brain regions),brain
ALI Distal Lung Organoid,lung
AML,bone marrow
AML cells,bone marrow
AML-iPSC-derived xenograft,bone marrow
APAP liver explant,liver
"AT2 YFP+ cells,16 weeks after Ad5SPC-Cre",lung
AT2 cells,lung
AT2 cells (GEMM),lung
AT2 organoids,lung
AUD (Auditory),sensory system
Anterior Cingulate Area (ACA),cortex
As4.1 cells,kidney
Atrioventricular canal (AVC),heart
B cell lymphoma,immune system
B cell precursor leukemia,immune system
B cells,immune system
B cells from peripheral blood mononuclear cells (PBMC),immune system
B-cells Ag2+,immune system
B16 tumor,skin of body
B16-OVA Tumor,skin of body
B16F10 tumor,skin of body
"B6 left lung, 2 hours post-reperfusion",lung
BA11 brain region,cortex
BA46,cortex
BA46 (Brain tissue),cortex
BA9 (Brain Area 9),cortex
BJ fibroblast,skin of body
BJ skin fibroblast,skin of body
BMMC (Bone Marrow Mononuclear Cells),bone marrow
BackSkin,skin of body
Basal Plate placenta,placenta
Bilateral V-SVZ of 4 littermates,brain
Bone Marrow,bone marrow
Bone Marrow 14d post treatment (M35),bone marrow
Bone Marrow 14d post treatment (M6),bone marrow
Bone Marrow 14d post treatment (T17),bone marrow
Bone Marrow 14d post treatment (T19),bone marrow
Bone Marrow 14d post treatment (T62),bone marrow
Bone Marrow 14d post treatment (T63),bone marrow
Bone Marrow 180d post treatment (M76),bone marrow
Bone Marrow 180d post treatment (T25),bone marrow
Bone Marrow 180d post treatment (T56),bone marrow
Bone Marrow 180d post treatment (T65),bone marrow
Bone Marrow 180d post treatment (T71),bone marrow
Bone Marrow 30d post treatment (M39),bone marrow
Bone Marrow 30d post treatment (T27),bone marrow
Bone Marrow 30d post treatment (T66),bone marrow
Bone Marrow 30d post treatment (T67),bone marrow
Bone Marrow 30d post treatment (T72),bone marrow
Bone Marrow 30d post treatment (T87),bone marrow
Bone Marrow 90d post treatment (T30),bone marrow
Bone Marrow 90d post treatment (T37),bone marrow
Bone Marrow Baseline (M1),bone marrow
Bone Marrow Baseline (T13),bone marrow
